regular_NOCs, PD
Init: players
Step:0
players[322]: Index: 322; Strategy: True; AccPayOffs: 6
players[323]: Index: 323; Strategy: True; AccPayOffs: 6
players[324]: Index: 324; Strategy: True; AccPayOffs: 4
players[325]: Index: 325; Strategy: True; AccPayOffs: 2
players[326]: Index: 326; Strategy: True; AccPayOffs: 1
players[327]: Index: 327; Strategy: True; AccPayOffs: 1
players[328]: Index: 328; Strategy: True; AccPayOffs: 4
players[329]: Index: 329; Strategy: True; AccPayOffs: 4
players[330]: Index: 330; Strategy: False; AccPayOffs: 0
players[331]: Index: 331; Strategy: False; AccPayOffs: 4
players[332]: Index: 332; Strategy: False; AccPayOffs: 6
players[333]: Index: 333; Strategy: False; AccPayOffs: 4
players[334]: Index: 334; Strategy: True; AccPayOffs: 3
players[335]: Index: 335; Strategy: True; AccPayOffs: 2
players[336]: Index: 336; Strategy: False; AccPayOffs: 2
players[337]: Index: 337; Strategy: True; AccPayOffs: 6
players[338]: Index: 338; Strategy: False; AccPayOffs: 0
players[339]: Index: 339; Strategy: True; AccPayOffs: 1
players[340]: Index: 340; Strategy: False; AccPayOffs: 2
players[341]: Index: 341; Strategy: True; AccPayOffs: 3
players[342]: Index: 342; Strategy: True; AccPayOffs: 1
players[343]: Index: 343; Strategy: True; AccPayOffs: 4
players[344]: Index: 344; Strategy: False; AccPayOffs: 2
players[345]: Index: 345; Strategy: True; AccPayOffs: 2
players[346]: Index: 346; Strategy: True; AccPayOffs: 1
players[347]: Index: 347; Strategy: True; AccPayOffs: 4
players[348]: Index: 348; Strategy: True; AccPayOffs: 2
players[349]: Index: 349; Strategy: False; AccPayOffs: 0
players[350]: Index: 350; Strategy: True; AccPayOffs: 2
players[351]: Index: 351; Strategy: False; AccPayOffs: 0
players[352]: Index: 352; Strategy: True; AccPayOffs: 1
players[353]: Index: 353; Strategy: True; AccPayOffs: 4
players[354]: Index: 354; Strategy: True; AccPayOffs: 3
players[355]: Index: 355; Strategy: False; AccPayOffs: 2
players[356]: Index: 356; Strategy: False; AccPayOffs: 2
players[357]: Index: 357; Strategy: True; AccPayOffs: 4
players[358]: Index: 358; Strategy: True; AccPayOffs: 2
players[359]: Index: 359; Strategy: True; AccPayOffs: 3
players[360]: Index: 360; Strategy: False; AccPayOffs: 4
players[361]: Index: 361; Strategy: False; AccPayOffs: 2
players[362]: Index: 362; Strategy: False; AccPayOffs: 2
players[363]: Index: 363; Strategy: True; AccPayOffs: 1
players[364]: Index: 364; Strategy: True; AccPayOffs: 2
players[365]: Index: 365; Strategy: True; AccPayOffs: 2
players[366]: Index: 366; Strategy: True; AccPayOffs: 2
players[367]: Index: 367; Strategy: True; AccPayOffs: 2
players[368]: Index: 368; Strategy: True; AccPayOffs: 4
players[369]: Index: 369; Strategy: False; AccPayOffs: 2
players[370]: Index: 370; Strategy: True; AccPayOffs: 1
players[371]: Index: 371; Strategy: False; AccPayOffs: 2
players[372]: Index: 372; Strategy: True; AccPayOffs: 8
players[373]: Index: 373; Strategy: True; AccPayOffs: 8
players[374]: Index: 374; Strategy: True; AccPayOffs: 8
players[375]: Index: 375; Strategy: True; AccPayOffs: 2
players[376]: Index: 376; Strategy: True; AccPayOffs: 4
players[377]: Index: 377; Strategy: True; AccPayOffs: 4
players[378]: Index: 378; Strategy: False; AccPayOffs: 0
players[379]: Index: 379; Strategy: True; AccPayOffs: 3
players[380]: Index: 380; Strategy: True; AccPayOffs: 2
players[381]: Index: 381; Strategy: True; AccPayOffs: 3
players[382]: Index: 382; Strategy: True; AccPayOffs: 2
players[383]: Index: 383; Strategy: True; AccPayOffs: 3
players[384]: Index: 384; Strategy: True; AccPayOffs: 3
players[385]: Index: 385; Strategy: True; AccPayOffs: 1
players[386]: Index: 386; Strategy: True; AccPayOffs: 1
players[387]: Index: 387; Strategy: True; AccPayOffs: 3
players[388]: Index: 388; Strategy: True; AccPayOffs: 0
players[389]: Index: 389; Strategy: True; AccPayOffs: 1
players[390]: Index: 390; Strategy: True; AccPayOffs: 3
players[391]: Index: 391; Strategy: False; AccPayOffs: 4
players[392]: Index: 392; Strategy: True; AccPayOffs: 1
players[393]: Index: 393; Strategy: True; AccPayOffs: 1
players[394]: Index: 394; Strategy: True; AccPayOffs: 1
players[395]: Index: 395; Strategy: True; AccPayOffs: 6
players[396]: Index: 396; Strategy: True; AccPayOffs: 2
players[397]: Index: 397; Strategy: True; AccPayOffs: 8
players[398]: Index: 398; Strategy: True; AccPayOffs: 1
players[399]: Index: 399; Strategy: True; AccPayOffs: 2
players[400]: Index: 400; Strategy: True; AccPayOffs: 2
players[401]: Index: 401; Strategy: True; AccPayOffs: 2
players[402]: Index: 402; Strategy: True; AccPayOffs: 4
players[403]: Index: 403; Strategy: False; AccPayOffs: 4
players[404]: Index: 404; Strategy: True; AccPayOffs: 3
players[405]: Index: 405; Strategy: True; AccPayOffs: 4
players[406]: Index: 406; Strategy: True; AccPayOffs: 4
players[407]: Index: 407; Strategy: True; AccPayOffs: 3
players[408]: Index: 408; Strategy: True; AccPayOffs: 3
players[409]: Index: 409; Strategy: True; AccPayOffs: 6
players[410]: Index: 410; Strategy: False; AccPayOffs: 4
players[411]: Index: 411; Strategy: True; AccPayOffs: 1
players[412]: Index: 412; Strategy: False; AccPayOffs: 2
players[413]: Index: 413; Strategy: True; AccPayOffs: 2
players[414]: Index: 414; Strategy: True; AccPayOffs: 6
players[415]: Index: 415; Strategy: True; AccPayOffs: 4
players[416]: Index: 416; Strategy: True; AccPayOffs: 4
players[417]: Index: 417; Strategy: False; AccPayOffs: 2
players[418]: Index: 418; Strategy: True; AccPayOffs: 6
players[419]: Index: 419; Strategy: True; AccPayOffs: 4
players[420]: Index: 420; Strategy: False; AccPayOffs: 2
players[421]: Index: 421; Strategy: True; AccPayOffs: 0
players[422]: Index: 422; Strategy: True; AccPayOffs: 2
players[423]: Index: 423; Strategy: True; AccPayOffs: 3
players[424]: Index: 424; Strategy: False; AccPayOffs: 4
players[425]: Index: 425; Strategy: True; AccPayOffs: 1
players[426]: Index: 426; Strategy: True; AccPayOffs: 4
players[427]: Index: 427; Strategy: True; AccPayOffs: 3
players[428]: Index: 428; Strategy: True; AccPayOffs: 4
